日付,費目,金額
2024-01,ガス代,22400
2024-02,ガス代,22400
2024-03,ガス代,13600
2024-04,ガス代,13600
2024-05,ガス代,13600
2024-06,ガス代,13600
2024-07,ガス代,13600
2024-08,ガス代,13600
2024-09,ガス代,13600
2024-10,ガス代,13600
2024-11,ガス代,13600
2024-12,ガス代,22400
2024-01,クレジットカード手数料,27630
2024-02,クレジットカード手数料,34240
2024-03,クレジットカード手数料,42500
2024-04,クレジットカード手数料,42650
2024-05,クレジットカード手数料,45200
2024-06,クレジットカード手数料,45600
2024-07,クレジットカード手数料,50170
2024-08,クレジットカード手数料,39170
2024-09,クレジットカード手数料,43530
2024-10,クレジットカード手数料,47470
2024-11,クレジットカード手数料,47600
2024-12,クレジットカード手数料,49620
2024-01,家賃,220000
2024-02,家賃,220000
2024-03,家賃,220000
2024-04,家賃,220000
2024-05,家賃,220000
2024-06,家賃,220000
2024-07,家賃,220000
2024-08,家賃,220000
2024-09,家賃,220000
2024-10,家賃,220000
2024-11,家賃,220000
2024-12,家賃,220000
2024-01,固定人件費,280000
2024-02,固定人件費,282000
2024-03,固定人件費,284000
2024-04,固定人件費,286000
2024-05,固定人件費,288000
2024-06,固定人件費,290000
2024-07,固定人件費,292000
2024-08,固定人件費,294000
2024-09,固定人件費,296000
2024-10,固定人件費,298000
2024-11,固定人件費,300000
2024-12,固定人件費,302000
2024-01,広告宣伝費,17500
2024-02,広告宣伝費,12500
2024-03,広告宣伝費,27500
2024-04,広告宣伝費,22500
2024-05,広告宣伝費,30000
2024-06,広告宣伝費,35000
2024-07,広告宣伝費,25000
2024-08,広告宣伝費,20000
2024-09,広告宣伝費,32500
2024-10,広告宣伝費,27500
2024-11,広告宣伝費,37500
2024-12,広告宣伝費,55000
2024-01,雑費・小口精算費,12000
2024-02,雑費・小口精算費,12600
2024-03,雑費・小口精算費,13200
2024-04,雑費・小口精算費,12000
2024-05,雑費・小口精算費,12600
2024-06,雑費・小口精算費,13200
2024-07,雑費・小口精算費,12000
2024-08,雑費・小口精算費,12600
2024-09,雑費・小口精算費,13200
2024-10,雑費・小口精算費,12000
2024-11,雑費・小口精算費,12600
2024-12,雑費・小口精算費,13200
2024-01,水道代,9000
2024-02,水道代,9000
2024-03,水道代,9000
2024-04,水道代,9000
2024-05,水道代,9000
2024-06,水道代,10800
2024-07,水道代,10800
2024-08,水道代,10800
2024-09,水道代,9000
2024-10,水道代,9000
2024-11,水道代,9000
2024-12,水道代,9000
2024-01,損害保険,11000
2024-02,損害保険,11000
2024-03,損害保険,11000
2024-04,損害保険,11000
2024-05,損害保険,11000
2024-06,損害保険,11000
2024-07,損害保険,11000
2024-08,損害保険,11000
2024-09,損害保険,11000
2024-10,損害保険,11000
2024-11,損害保険,11000
2024-12,損害保険,11000
2024-01,通信費,8000
2024-02,通信費,8000
2024-03,通信費,8000
2024-04,通信費,8000
2024-05,通信費,8000
2024-06,通信費,8000
2024-07,通信費,8000
2024-08,通信費,8000
2024-09,通信費,8000
2024-10,通信費,8000
2024-11,通信費,8000
2024-12,通信費,8000
2024-01,電気代,33750
2024-02,電気代,33750
2024-03,電気代,25000
2024-04,電気代,25000
2024-05,電気代,25000
2024-06,電気代,28750
2024-07,電気代,36250
2024-08,電気代,36250
2024-09,電気代,28750
2024-10,電気代,25000
2024-11,電気代,25000
2024-12,電気代,33750
2024-01,備品・消耗品仕入費,18000
2024-02,備品・消耗品仕入費,18360
2024-03,備品・消耗品仕入費,18720
2024-04,備品・消耗品仕入費,19080
2024-05,備品・消耗品仕入費,19440
2024-06,備品・消耗品仕入費,19800
2024-07,備品・消耗品仕入費,20160
2024-08,備品・消耗品仕入費,20520
2024-09,備品・消耗品仕入費,20880
2024-10,備品・消耗品仕入費,21240
2024-11,備品・消耗品仕入費,21600
2024-12,備品・消耗品仕入費,21960
2024-09-04,食材仕入れ費,13450
2024-09-03,アルバイト人件費,14040
2024-09-03,ドリンク仕入れ費,17210
2024-09-04,ドリンク仕入れ費,17340
2024-09-05,ドリンク仕入れ費,17470
2024-09-05,食材仕入れ費,13550
2024-09-04,アルバイト人件費,14160
2024-08-31,アルバイト人件費,19260
2024-08-31,ドリンク仕入れ費,23600
2024-08-31,食材仕入れ費,18300
2024-09-02,食材仕入れ費,13240
2024-09-03,食材仕入れ費,13340
2024-09-02,アルバイト人件費,13930
2024-09-02,ドリンク仕入れ費,17070
2024-09-09,アルバイト人件費,14710
2024-09-09,ドリンク仕入れ費,18020
2024-09-09,食材仕入れ費,13970
2024-09-10,食材仕入れ費,14080
2024-09-11,食材仕入れ費,13130
2024-09-10,アルバイト人件費,14820
2024-09-10,ドリンク仕入れ費,18150
2024-09-06,ドリンク仕入れ費,20780
2024-09-06,食材仕入れ費,16120
2024-09-05,アルバイト人件費,14270
2024-09-06,アルバイト人件費,16960
2024-09-07,アルバイト人件費,19120
2024-09-07,ドリンク仕入れ費,23420
2024-09-07,食材仕入れ費,18170
2024-08-16,アルバイト人件費,17910
2024-08-16,ドリンク仕入れ費,21940
2024-08-16,食材仕入れ費,17010
2024-08-17,食材仕入れ費,19180
2024-08-26,食材仕入れ費,14420
2024-08-17,アルバイト人件費,20190
2024-08-17,ドリンク仕入れ費,24730
2024-08-14,ドリンク仕入れ費,18300
2024-08-14,食材仕入れ費,14200
2024-08-13,アルバイト人件費,14830
2024-08-14,アルバイト人件費,14940
2024-08-15,アルバイト人件費,15060
2024-08-15,ドリンク仕入れ費,18450
2024-08-15,食材仕入れ費,14310
2024-08-29,ドリンク仕入れ費,19020
2024-08-29,食材仕入れ費,14750
2024-08-28,アルバイト人件費,15410
