年月日,営業日|店休日,日次売上,ランチ客数,ディナー客数,トータル客数,ランチ組数,ディナー組数,トータル組数
2024-01-01,0,0,0,0,0,0,0,0
2024-01-02,0,0,0,0,0,0,0,0
2024-01-03,0,0,0,0,0,0,0,0
2024-01-04,0,0,0,0,0,0,0,0
2024-01-05,0,0,0,0,0,0,0,0
2024-01-06,0,0,0,0,0,0,0,0
2024-01-07,0,0,0,0,0,0,0,0
2024-01-08,1,69270,17,10,27,8,5,13
2024-01-09,1,69800,17,10,27,8,5,13
2024-01-10,1,70320,18,10,28,9,5,14
2024-01-11,1,65600,16,9,25,8,4,12
2024-01-12,1,78030,18,10,28,8,5,13
2024-01-13,1,87980,19,9,28,8,4,12
2024-01-14,0,0,0,0,0,0,0,0
2024-01-15,1,67700,17,9,26,8,4,12
2024-01-16,1,68220,17,10,27,8,5,13
2024-01-17,1,68750,17,10,27,8,5,13
2024-01-18,1,69270,17,10,27,8,5,13
2024-01-19,1,82360,19,10,29,9,5,14
2024-01-20,1,92830,20,10,30,8,4,12
2024-01-21,0,0,0,0,0,0,0,0
2024-01-22,1,66120,17,9,26,8,4,12
2024-01-23,1,66650,17,9,26,8,4,12
2024-01-24,1,67170,17,9,26,8,4,12
2024-01-25,1,67700,17,9,26,8,4,12
2024-01-26,1,80500,19,10,29,9,5,14
2024-01-27,1,90750,19,10,29,8,4,12
2024-01-28,0,0,0,0,0,0,0,0
2024-01-29,1,69800,17,10,27,8,5,13
2024-01-30,1,70320,18,10,28,9,5,14
2024-01-31,1,65600,16,9,25,8,4,12
2024-02-01,1,68000,17,10,27,8,5,13
2024-02-02,1,80880,19,10,29,9,5,14
2024-02-03,1,91200,20,10,30,8,4,12
2024-02-04,0,0,0,0,0,0,0,0
2024-02-05,1,70180,18,10,28,9,5,14
2024-02-06,1,70720,18,10,28,9,5,14
2024-02-07,1,71260,18,10,28,9,5,14
2024-02-08,1,71810,18,10,28,9,5,14
2024-02-09,1,85380,20,11,31,9,5,14
2024-02-10,1,96220,21,10,31,8,4,12
2024-02-11,0,0,0,0,0,0,0,0
2024-02-12,1,68540,17,10,27,8,5,13
2024-02-13,1,69090,17,10,27,8,5,13
2024-02-14,1,69630,17,10,27,8,5,13
2024-02-15,1,70180,18,10,28,9,5,14
2024-02-16,1,83450,19,11,30,9,5,14
2024-02-17,1,94070,20,10,30,8,4,12
2024-02-18,0,0,0,0,0,0,0,0
2024-02-19,1,72350,18,10,28,9,5,14
2024-02-20,1,72900,18,10,28,9,5,14
2024-02-21,1,68000,17,10,27,8,5,13
2024-02-22,1,68540,17,10,27,8,5,13
2024-02-23,1,81520,19,10,29,9,5,14
2024-02-24,1,91910,20,10,30,8,4,12
2024-02-25,0,0,0,0,0,0,0,0
2024-02-26,1,70720,18,10,28,9,5,14
2024-02-27,1,71260,18,10,28,9,5,14
2024-02-28,1,71810,18,10,28,9,5,14
2024-02-29,1,72350,18,10,28,9,5,14
2024-03-01,1,94400,22,12,34,10,5,15
2024-03-02,1,106440,23,11,34,9,4,13
