年月日,営業日|店休日,家賃,固定人件費,損害保険,備品・消耗品仕入費,雑費・小口精算費,電気代,ガス代,水道代,通信費,広告宣伝費,クレジットカード手数料,食材仕入れ費,ドリンク仕入れ費,アルバイト人件費
2025-01-01,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-02,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-03,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-04,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-05,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-06,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12960,16720,13640
2025-01-07,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13060,16840,13750
2025-01-08,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13160,16970,13850
2025-01-09,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13260,17100,13960
2025-01-10,1,7096,10000,387,650,433,1219,809,325,274,632,1220,15770,20330,16600
2025-01-11,1,7096,10000,387,650,433,1219,809,325,274,632,1220,16450,21220,17320
2025-01-12,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-13,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12660,16330,13330
2025-01-14,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12760,16460,13440
2025-01-15,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12860,16580,13540
2025-01-16,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12960,16720,13640
2025-01-17,1,7096,10000,387,650,433,1219,809,325,274,632,1220,15410,19870,16220
2025-01-18,1,7096,10000,387,650,433,1219,809,325,274,632,1220,17370,22400,18290
2025-01-19,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-20,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13360,17230,14060
2025-01-21,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12460,16070,13120
2025-01-22,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12560,16200,13230
2025-01-23,1,7096,10000,387,650,433,1219,809,325,274,632,1220,12660,16330,13330
2025-01-24,1,7096,10000,387,650,433,1219,809,325,274,632,1220,15060,19420,15850
2025-01-25,1,7096,10000,387,650,433,1219,809,325,274,632,1220,16980,21890,17870
2025-01-26,0,7096,10000,387,650,433,1219,809,325,274,632,1220,0,0,0
2025-01-27,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13060,16840,13750
2025-01-28,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13160,16970,13850
2025-01-29,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13260,17100,13960
2025-01-30,1,7096,10000,387,650,433,1219,809,325,274,632,1220,13360,17230,14060
2025-01-31,1,7120,10000,390,660,450,1230,820,330,280,640,1220,14710,18960,15480
2025-02-01,1,7857,11142,428,734,503,1350,896,360,303,500,1468,17050,21990,17950
2025-02-02,0,7857,11142,428,734,503,1350,896,360,303,500,1468,0,0,0
2025-02-03,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13130,16930,13820
2025-02-04,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13230,17060,13930
2025-02-05,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13330,17190,14040
2025-02-06,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13440,17330,14140
2025-02-07,1,7857,11142,428,734,503,1350,896,360,303,500,1468,15980,20600,16820
2025-02-08,1,7857,11142,428,734,503,1350,896,360,303,500,1468,18010,23220,18960
2025-02-09,0,7857,11142,428,734,503,1350,896,360,303,500,1468,0,0,0
2025-02-10,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13850,17860,14580
2025-02-11,1,7857,11142,428,734,503,1350,896,360,303,500,1468,12920,16660,13600
2025-02-12,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13020,16790,13710
2025-02-13,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13130,16930,13820
2025-02-14,1,7857,11142,428,734,503,1350,896,360,303,500,1468,15610,20130,16430
2025-02-15,1,7857,11142,428,734,503,1350,896,360,303,500,1468,17600,22690,18530
2025-02-16,0,7857,11142,428,734,503,1350,896,360,303,500,1468,0,0,0
2025-02-17,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13540,17460,14250
2025-02-18,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13640,17590,14360
2025-02-19,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13750,17730,14470
2025-02-20,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13850,17860,14580
2025-02-21,1,7857,11142,428,734,503,1350,896,360,303,500,1468,15250,19660,16050
2025-02-22,1,7857,11142,428,734,503,1350,896,360,303,500,1468,17190,22170,18100
2025-02-23,0,7857,11142,428,734,503,1350,896,360,303,500,1468,0,0,0
2025-02-24,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13230,17060,13930
2025-02-25,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13330,17190,14040
2025-02-26,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13440,17330,14140
2025-02-27,1,7857,11142,428,734,503,1350,896,360,303,500,1468,13540,17460,14250
2025-02-28,1,7861,11166,444,742,529,1350,898,360,319,500,1474,16100,20760,16950
2025-03-01,1,7096,10129,387,676,476,903,491,325,274,993,1699,20060,25870,21120
2025-03-02,0,7096,10129,387,676,476,903,491,325,274,993,1699,0,0,0
2025-03-03,1,7096,10129,387,676,476,903,491,325,274,993,1699,15440,19910,16260
2025-03-04,1,7096,10129,387,676,476,903,491,325,274,993,1699,15560,20070,16380
2025-03-05,1,7096,10129,387,676,476,903,491,325,274,993,1699,15690,20230,16510
2025-03-06,1,7096,10129,387,676,476,903,491,325,274,993,1699,15810,20380,16640
2025-03-07,1,7096,10129,387,676,476,903,491,325,274,993,1699,18800,24240,19790
2025-03-08,1,7096,10129,387,676,476,903,491,325,274,993,1699,21190,27320,22300
2025-03-09,0,7096,10129,387,676,476,903,491,325,274,993,1699,0,0,0
2025-03-10,1,7096,10129,387,676,476,903,491,325,274,993,1699,16290,21010,17150
2025-03-11,1,7096,10129,387,676,476,903,491,325,274,993,1699,15200,19600,16000
2025-03-12,1,7096,10129,387,676,476,903,491,325,274,993,1699,15320,19760,16130
2025-03-13,1,7096,10129,387,676,476,903,491,325,274,993,1699,15440,19910,16260
2025-03-14,1,7096,10129,387,676,476,903,491,325,274,993,1699,18370,23680,19330
2025-03-15,1,7096,10129,387,676,476,903,491,325,274,993,1699,20710,26700,21800
2025-03-16,0,7096,10129,387,676,476,903,491,325,274,993,1699,0,0,0
2025-03-17,1,7096,10129,387,676,476,903,491,325,274,993,1699,15930,20540,16770
2025-03-18,1,7096,10129,387,676,476,903,491,325,274,993,1699,16050,20700,16900
2025-03-19,1,7096,10129,387,676,476,903,491,325,274,993,1699,16170,20850,17020
2025-03-20,1,7096,10129,387,676,476,903,491,325,274,993,1699,16290,21010,17150
2025-03-21,1,7096,10129,387,676,476,903,491,325,274,993,1699,17940,23130,18880
2025-03-22,1,7096,10129,387,676,476,903,491,325,274,993,1699,20230,26080,21290
2025-03-23,0,7096,10129,387,676,476,903,491,325,274,993,1699,0,0,0
2025-03-24,1,7096,10129,387,676,476,903,491,325,274,993,1699,15560,20070,16380
2025-03-25,1,7096,10129,387,676,476,903,491,325,274,993,1699,15690,20230,16510
2025-03-26,1,7096,10129,387,676,476,903,491,325,274,993,1699,15810,20380,16640
2025-03-27,1,7096,10129,387,676,476,903,491,325,274,993,1699,15930,20540,16770
2025-03-28,1,7096,10129,387,676,476,903,491,325,274,993,1699,18940,24420,19940
2025-03-29,1,7096,10129,387,676,476,903,491,325,274,993,1699,21350,27530,22470
2025-03-30,0,7096,10129,387,676,476,903,491,325,274,993,1699,0,0,0
2025-03-31,1,7120,10130,390,690,500,910,500,330,280,1010,1720,15200,19600,16000
2025-04-01,1,7333,10533,400,712,448,933,507,336,283,840,1773,15500,19990,16320
2025-04-02,1,7333,10533,400,712,448,933,507,336,283,840,1773,15630,20150,16450
2025-04-03,1,7333,10533,400,712,448,933,507,336,283,840,1773,15750,20310,16580
2025-04-04,1,7333,10533,400,712,448,933,507,336,283,840,1773,18740,24160,19720
2025-04-05,1,7333,10533,400,712,448,933,507,336,283,840,1773,21120,27240,22230
2025-04-06,0,7333,10533,400,712,448,933,507,336,283,840,1773,0,0,0
2025-04-07,1,7333,10533,400,712,448,933,507,336,283,840,1773,16250,20950,17100
2025-04-08,1,7333,10533,400,712,448,933,507,336,283,840,1773,16370,21110,17230
2025-04-09,1,7333,10533,400,712,448,933,507,336,283,840,1773,16500,21270,17360
2025-04-10,1,7333,10533,400,712,448,933,507,336,283,840,1773,16620,21430,17490
2025-04-11,1,7333,10533,400,712,448,933,507,336,283,840,1773,18300,23590,19260
2025-04-12,1,7333,10533,400,712,448,933,507,336,283,840,1773,20630,26600,21720
2025-04-13,0,7333,10533,400,712,448,933,507,336,283,840,1773,0,0,0
2025-04-14,1,7333,10533,400,712,448,933,507,336,283,840,1773,15880,20470,16710
2025-04-15,1,7333,10533,400,712,448,933,507,336,283,840,1773,16000,20630,16840
2025-04-16,1,7333,10533,400,712,448,933,507,336,283,840,1773,16120,20790,16970
2025-04-17,1,7333,10533,400,712,448,933,507,336,283,840,1773,16250,20950,17100
2025-04-18,1,7333,10533,400,712,448,933,507,336,283,840,1773,19320,24910,20340
2025-04-19,1,7333,10533,400,712,448,933,507,336,283,840,1773,21780,28080,22920
2025-04-20,0,7333,10533,400,712,448,933,507,336,283,840,1773,0,0,0
2025-04-21,1,7333,10533,400,712,448,933,507,336,283,840,1773,15500,19990,16320
2025-04-22,1,7333,10533,400,712,448,933,507,336,283,840,1773,15630,20150,16450
2025-04-23,1,7333,10533,400,712,448,933,507,336,283,840,1773,15750,20310,16580
2025-04-24,1,7333,10533,400,712,448,933,507,336,283,840,1773,15880,20470,16710
2025-04-25,1,7333,10533,400,712,448,933,507,336,283,840,1773,18880,24350,19870
2025-04-26,1,7333,10533,400,712,448,933,507,336,283,840,1773,21280,27450,22400
2025-04-27,0,7333,10533,400,712,448,933,507,336,283,840,1773,0,0,0
2025-04-28,1,7333,10533,400,712,448,933,507,336,283,840,1773,16370,21110,17230
2025-04-29,1,7333,10533,400,712,448,933,507,336,283,840,1773,16500,21270,17360
2025-04-30,1,7343,10543,400,722,448,943,527,336,293,840,1773,16620,21430,17490
2025-05-01,1,7096,10258,387,702,455,903,491,325,274,1083,1845,15810,20380,16640
2025-05-02,1,7096,10258,387,702,455,903,491,325,274,1083,1845,18800,24250,19790
2025-05-03,1,7096,10258,387,702,455,903,491,325,274,1083,1845,21200,27340,22320
2025-05-04,0,7096,10258,387,702,455,903,491,325,274,1083,1845,0,0,0
2025-05-05,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16310,21040,17170
2025-05-06,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16440,21200,17310
2025-05-07,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16570,21360,17440
2025-05-08,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16690,21520,17570
2025-05-09,1,7096,10258,387,702,455,903,491,325,274,1083,1845,19850,25590,20890
2025-05-10,1,7096,10258,387,702,455,903,491,325,274,1083,1845,22370,28840,23550
2025-05-11,0,7096,10258,387,702,455,903,491,325,274,1083,1845,0,0,0
2025-05-12,1,7096,10258,387,702,455,903,491,325,274,1083,1845,15930,20550,16770
2025-05-13,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16060,20710,16910
2025-05-14,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16190,20870,17040
2025-05-15,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16310,21040,17170
2025-05-16,1,7096,10258,387,702,455,903,491,325,274,1083,1845,19400,25020,20420
2025-05-17,1,7096,10258,387,702,455,903,491,325,274,1083,1845,21870,28200,23020
2025-05-18,0,7096,10258,387,702,455,903,491,325,274,1083,1845,0,0,0
2025-05-19,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16820,21690,17710
2025-05-20,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16950,21850,17840
2025-05-21,1,7096,10258,387,702,455,903,491,325,274,1083,1845,15810,20380,16640
2025-05-22,1,7096,10258,387,702,455,903,491,325,274,1083,1845,15930,20550,16770
2025-05-23,1,7096,10258,387,702,455,903,491,325,274,1083,1845,18950,24440,19950
2025-05-24,1,7096,10258,387,702,455,903,491,325,274,1083,1845,21370,27550,22490
2025-05-25,0,7096,10258,387,702,455,903,491,325,274,1083,1845,0,0,0
2025-05-26,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16440,21200,17310
2025-05-27,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16570,21360,17440
2025-05-28,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16690,21520,17570
2025-05-29,1,7096,10258,387,702,455,903,491,325,274,1083,1845,16820,21690,17710
2025-05-30,1,7096,10258,387,702,455,903,491,325,274,1083,1845,20000,25790,21050
2025-05-31,1,7120,10260,390,710,460,910,500,330,280,1110,1850,20870,26910,21960
2025-06-01,0,7333,10666,400,739,492,1073,507,403,283,1306,1881,0,0,0
2025-06-02,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17160,22130,18060
2025-06-03,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17300,22300,18210
2025-06-04,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17430,22480,18350
2025-06-05,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17570,22650,18490
2025-06-06,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,20890,26940,21990
2025-06-07,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,23550,30370,24790
2025-06-08,0,7333,10666,400,739,492,1073,507,403,283,1306,1881,0,0,0
2025-06-09,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,18110,23360,19070
2025-06-10,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,18250,23530,19210
2025-06-11,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17020,21950,17920
2025-06-12,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17160,22130,18060
2025-06-13,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,20410,26320,21480
2025-06-14,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,23010,29670,24220
2025-06-15,0,7333,10666,400,739,492,1073,507,403,283,1306,1881,0,0,0
2025-06-16,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17700,22830,18640
2025-06-17,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17840,23010,18780
2025-06-18,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17980,23180,18920
2025-06-19,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,18110,23360,19070
2025-06-20,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,21530,27770,22670
2025-06-21,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,22470,28980,23650
2025-06-22,0,7333,10666,400,739,492,1073,507,403,283,1306,1881,0,0,0
2025-06-23,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17300,22300,18210
2025-06-24,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17430,22480,18350
2025-06-25,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17570,22650,18490
2025-06-26,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,17700,22830,18640
2025-06-27,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,21050,27150,22160
2025-06-28,1,7333,10666,400,739,492,1073,507,403,283,1306,1881,23730,30600,24980
2025-06-29,0,7333,10666,400,739,492,1073,507,403,283,1306,1881,0,0,0
2025-06-30,1,7343,10686,400,749,512,1083,527,413,293,1326,1881,18250,23530,19210
2025-07-01,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17630,22740,18560
2025-07-02,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17770,22920,18710
2025-07-03,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17920,23100,18860
2025-07-04,1,7096,10387,387,728,433,1309,491,390,274,903,2018,21310,27470,22430
2025-07-05,1,7096,10387,387,728,433,1309,491,390,274,903,2018,24020,30970,25280
2025-07-06,0,7096,10387,387,728,433,1309,491,390,274,903,2018,0,0,0
2025-07-07,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18480,23830,19450
2025-07-08,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18620,24010,19600
2025-07-09,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18760,24190,19750
2025-07-10,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18900,24370,19900
2025-07-11,1,7096,10387,387,728,433,1309,491,390,274,903,2018,20800,26830,21900
2025-07-12,1,7096,10387,387,728,433,1309,491,390,274,903,2018,23460,30250,24690
2025-07-13,0,7096,10387,387,728,433,1309,491,390,274,903,2018,0,0,0
2025-07-14,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18050,23280,19000
2025-07-15,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18200,23460,19150
2025-07-16,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18340,23650,19300
2025-07-17,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18480,23830,19450
2025-07-18,1,7096,10387,387,728,433,1309,491,390,274,903,2018,21970,28330,23130
2025-07-19,1,7096,10387,387,728,433,1309,491,390,274,903,2018,24760,31930,26070
2025-07-20,0,7096,10387,387,728,433,1309,491,390,274,903,2018,0,0,0
2025-07-21,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17630,22740,18560
2025-07-22,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17770,22920,18710
2025-07-23,1,7096,10387,387,728,433,1309,491,390,274,903,2018,17920,23100,18860
2025-07-24,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18050,23280,19000
2025-07-25,1,7096,10387,387,728,433,1309,491,390,274,903,2018,21470,27690,22600
2025-07-26,1,7096,10387,387,728,433,1309,491,390,274,903,2018,24200,31210,25480
2025-07-27,0,7096,10387,387,728,433,1309,491,390,274,903,2018,0,0,0
2025-07-28,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18620,24010,19600
2025-07-29,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18760,24190,19750
2025-07-30,1,7096,10387,387,728,433,1309,491,390,274,903,2018,18900,24370,19900
2025-07-31,1,7120,10390,390,740,450,1330,500,400,280,910,2040,17630,22740,18560
2025-08-01,1,7096,10451,387,741,455,1309,491,390,274,722,1508,20450,26360,21520
2025-08-02,1,7096,10451,387,741,455,1309,491,390,274,722,1508,23050,29730,24270
2025-08-03,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-04,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17740,22880,18680
2025-08-05,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17880,23060,18820
2025-08-06,1,7096,10451,387,741,455,1309,491,390,274,722,1508,18020,23240,18970
2025-08-07,1,7096,10451,387,741,455,1309,491,390,274,722,1508,18160,23420,19120
2025-08-08,1,7096,10451,387,741,455,1309,491,390,274,722,1508,21590,27840,22730
2025-08-09,1,7096,10451,387,741,455,1309,491,390,274,722,1508,24340,31380,25620
2025-08-10,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-11,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17330,22340,18240
2025-08-12,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17470,22520,18390
2025-08-13,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17610,22700,18530
2025-08-14,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17740,22880,18680
2025-08-15,1,7096,10451,387,741,455,1309,491,390,274,722,1508,21100,27210,22210
2025-08-16,1,7096,10451,387,741,455,1309,491,390,274,722,1508,23790,30670,25040
2025-08-17,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-18,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-19,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-20,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-21,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-22,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-23,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-24,0,7096,10451,387,741,455,1309,491,390,274,722,1508,0,0,0
2025-08-25,1,7096,10451,387,741,455,1309,491,390,274,722,1508,17880,23060,18820
2025-08-26,1,7096,10451,387,741,455,1309,491,390,274,722,1508,18020,23240,18970
2025-08-27,1,7096,10451,387,741,455,1309,491,390,274,722,1508,18160,23420,19120
2025-08-28,1,7096,10451,387,741,455,1309,491,390,274,722,1508,18300,23600,19260
2025-08-29,1,7096,10451,387,741,455,1309,491,390,274,722,1508,21760,28050,22900
2025-08-30,1,7096,10451,387,741,455,1309,491,390,274,722,1508,24520,31620,25810
2025-08-31,0,7120,10470,390,750,460,1330,500,400,280,740,1530,0,0,0
2025-09-01,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16420,21170,17280
2025-09-02,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16550,21340,17420
2025-09-03,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16680,21510,17560
2025-09-04,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16810,21670,17690
2025-09-05,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,19990,25780,21040
2025-09-06,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,22540,29060,23720
2025-09-07,0,7333,10866,400,779,492,1073,507,336,283,1213,1881,0,0,0
2025-09-08,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17340,22350,18250
2025-09-09,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17470,22520,18390
2025-09-10,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17600,22690,18520
2025-09-11,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16420,21170,17280
2025-09-12,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,19530,25180,20550
2025-09-13,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,22020,28390,23170
2025-09-14,0,7333,10866,400,779,492,1073,507,336,283,1213,1881,0,0,0
2025-09-15,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16940,21850,17830
2025-09-16,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17070,22010,17970
2025-09-17,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17200,22180,18110
2025-09-18,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17340,22350,18250
2025-09-19,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,20610,26580,21700
2025-09-20,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,23230,29950,24450
2025-09-21,0,7333,10866,400,779,492,1073,507,336,283,1213,1881,0,0,0
2025-09-22,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16550,21340,17420
2025-09-23,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16680,21510,17560
2025-09-24,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16810,21670,17690
2025-09-25,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,16940,21850,17830
2025-09-26,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,20150,25980,21210
2025-09-27,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,22710,29280,23900
2025-09-28,0,7333,10866,400,779,492,1073,507,336,283,1213,1881,0,0,0
2025-09-29,1,7333,10866,400,779,492,1073,507,336,283,1213,1881,17470,22520,18390
2025-09-30,1,7343,10886,400,799,512,1083,527,336,293,1223,1891,17600,22690,18520
2025-10-01,1,7096,10580,387,767,433,903,491,325,274,993,1927,16720,21560,17600
2025-10-02,1,7096,10580,387,767,433,903,491,325,274,993,1927,16850,21730,17740
2025-10-03,1,7096,10580,387,767,433,903,491,325,274,993,1927,20040,25850,21100
2025-10-04,1,7096,10580,387,767,433,903,491,325,274,993,1927,22600,29140,23790
2025-10-05,0,7096,10580,387,767,433,903,491,325,274,993,1927,0,0,0
2025-10-06,1,7096,10580,387,767,433,903,491,325,274,993,1927,17390,22420,18300
2025-10-07,1,7096,10580,387,767,433,903,491,325,274,993,1927,17520,22600,18440
2025-10-08,1,7096,10580,387,767,433,903,491,325,274,993,1927,17660,22770,18590
2025-10-09,1,7096,10580,387,767,433,903,491,325,274,993,1927,17790,22940,18730
2025-10-10,1,7096,10580,387,767,433,903,491,325,274,993,1927,21150,27270,22260
2025-10-11,1,7096,10580,387,767,433,903,491,325,274,993,1927,22070,28460,23230
2025-10-12,0,7096,10580,387,767,433,903,491,325,274,993,1927,0,0,0
2025-10-13,1,7096,10580,387,767,433,903,491,325,274,993,1927,16990,21900,17880
