日付,費目,金額
2026-01,家賃,0
2026-02,家賃,0
2026-03,家賃,0
2026-04,家賃,0
2026-05,家賃,0
2026-06,家賃,0
2026-07,家賃,0
2026-08,家賃,0
2026-09,家賃,0
2026-01,固定人件費,0
2026-02,固定人件費,0
2026-03,固定人件費,0
2026-04,固定人件費,0
2026-05,固定人件費,0
2026-06,固定人件費,0
2026-07,固定人件費,0
2026-08,固定人件費,0
2026-09,固定人件費,0
2026-01,損害保険,0
2026-02,損害保険,0
2026-03,損害保険,0
2026-04,損害保険,0
2026-05,損害保険,0
2026-06,損害保険,0
2026-07,損害保険,0
2026-08,損害保険,0
2026-09,損害保険,0
2026-01,備品・消耗品仕入費,0
2026-02,備品・消耗品仕入費,0
2026-03,備品・消耗品仕入費,0
2026-04,備品・消耗品仕入費,0
2026-05,備品・消耗品仕入費,0
2026-06,備品・消耗品仕入費,0
2026-07,備品・消耗品仕入費,0
2026-08,備品・消耗品仕入費,0
2026-09,備品・消耗品仕入費,0
2026-01,雑費・小口精算費,0
2026-02,雑費・小口精算費,0
2026-03,雑費・小口精算費,0
2026-04,雑費・小口精算費,0
2026-05,雑費・小口精算費,0
2026-06,雑費・小口精算費,0
2026-07,雑費・小口精算費,0
2026-08,雑費・小口精算費,0
2026-09,雑費・小口精算費,0
2026-01,電気代,0
2026-02,電気代,0
2026-03,電気代,0
2026-04,電気代,0
2026-05,電気代,0
2026-06,電気代,0
2026-07,電気代,0
2026-08,電気代,0
2026-09,電気代,0
2026-01,ガス代,0
2026-02,ガス代,0
2026-03,ガス代,0
2026-04,ガス代,0
2026-05,ガス代,0
2026-06,ガス代,0
2026-07,ガス代,0
2026-08,ガス代,0
2026-09,ガス代,0
2026-01,水道代,0
2026-02,水道代,0
2026-03,水道代,0
2026-04,水道代,0
2026-05,水道代,0
2026-06,水道代,0
2026-07,水道代,0
2026-08,水道代,0
2026-09,水道代,0
2026-01,通信費,0
2026-02,通信費,0
2026-03,通信費,0
2026-04,通信費,0
2026-05,通信費,0
2026-06,通信費,0
2026-07,通信費,0
2026-08,通信費,0
2026-09,通信費,0
2026-01,広告宣伝費,0
2026-02,広告宣伝費,0
2026-03,広告宣伝費,0
2026-04,広告宣伝費,0
2026-05,広告宣伝費,0
2026-06,広告宣伝費,0
2026-07,広告宣伝費,0
2026-08,広告宣伝費,0
2026-09,広告宣伝費,0
2026-01,クレジットカード手数料,0
2026-02,クレジットカード手数料,0
2026-03,クレジットカード手数料,0
2026-04,クレジットカード手数料,0
2026-05,クレジットカード手数料,0
2026-06,クレジットカード手数料,0
2026-07,クレジットカード手数料,0
2026-08,クレジットカード手数料,0
2026-09,クレジットカード手数料,0
2026-01-01,食材仕入れ費,0
2026-01-01,ドリンク仕入れ費,0
2026-01-01,アルバイト人件費,0
2026-01-02,食材仕入れ費,0
2026-01-02,ドリンク仕入れ費,0
2026-01-02,アルバイト人件費,0
2026-01-03,食材仕入れ費,0
2026-01-03,ドリンク仕入れ費,0
2026-01-03,アルバイト人件費,0
2026-01-04,食材仕入れ費,0
2026-01-04,ドリンク仕入れ費,0
2026-01-04,アルバイト人件費,0
2026-01-05,食材仕入れ費,0
2026-01-05,ドリンク仕入れ費,0
2026-01-05,アルバイト人件費,0
2026-01-06,食材仕入れ費,0
2026-01-06,ドリンク仕入れ費,0
2026-01-06,アルバイト人件費,0
2026-01-07,食材仕入れ費,0
2026-01-07,ドリンク仕入れ費,0
2026-01-07,アルバイト人件費,0
2026-01-08,食材仕入れ費,0
2026-01-08,ドリンク仕入れ費,0
2026-01-08,アルバイト人件費,0
2026-01-09,食材仕入れ費,0
2026-01-09,ドリンク仕入れ費,0
2026-01-09,アルバイト人件費,0
2026-01-10,食材仕入れ費,0
2026-01-10,ドリンク仕入れ費,0
2026-01-10,アルバイト人件費,0
2026-01-11,食材仕入れ費,0
2026-01-11,ドリンク仕入れ費,0
2026-01-11,アルバイト人件費,0
2026-01-12,食材仕入れ費,0
2026-01-12,ドリンク仕入れ費,0
2026-01-12,アルバイト人件費,0
2026-01-13,食材仕入れ費,0
2026-01-13,ドリンク仕入れ費,0
2026-01-13,アルバイト人件費,0
2026-01-14,食材仕入れ費,0
2026-01-14,ドリンク仕入れ費,0
2026-01-14,アルバイト人件費,0
2026-01-15,食材仕入れ費,0
2026-01-15,ドリンク仕入れ費,0
2026-01-15,アルバイト人件費,0
2026-01-16,食材仕入れ費,0
2026-01-16,ドリンク仕入れ費,0
2026-01-16,アルバイト人件費,0
2026-01-17,食材仕入れ費,0
2026-01-17,ドリンク仕入れ費,0
2026-01-17,アルバイト人件費,0
2026-01-18,食材仕入れ費,0
2026-01-18,ドリンク仕入れ費,0
2026-01-18,アルバイト人件費,0
2026-01-19,食材仕入れ費,0
2026-01-19,ドリンク仕入れ費,0
2026-01-19,アルバイト人件費,0
2026-01-20,食材仕入れ費,0
2026-01-20,ドリンク仕入れ費,0
2026-01-20,アルバイト人件費,0
2026-01-21,食材仕入れ費,0
2026-01-21,ドリンク仕入れ費,0
2026-01-21,アルバイト人件費,0
2026-01-22,食材仕入れ費,0
2026-01-22,ドリンク仕入れ費,0
2026-01-22,アルバイト人件費,0
2026-01-23,食材仕入れ費,0
2026-01-23,ドリンク仕入れ費,0
2026-01-23,アルバイト人件費,0
2026-01-24,食材仕入れ費,0
2026-01-24,ドリンク仕入れ費,0
2026-01-24,アルバイト人件費,0
2026-01-25,食材仕入れ費,0
2026-01-25,ドリンク仕入れ費,0
2026-01-25,アルバイト人件費,0
2026-01-26,食材仕入れ費,0
2026-01-26,ドリンク仕入れ費,0
2026-01-26,アルバイト人件費,0
2026-01-27,食材仕入れ費,0
2026-01-27,ドリンク仕入れ費,0
2026-01-27,アルバイト人件費,0
2026-01-28,食材仕入れ費,0
2026-01-28,ドリンク仕入れ費,0
2026-01-28,アルバイト人件費,0
2026-01-29,食材仕入れ費,0
2026-01-29,ドリンク仕入れ費,0
2026-01-29,アルバイト人件費,0
2026-01-30,食材仕入れ費,0
2026-01-30,ドリンク仕入れ費,0
2026-01-30,アルバイト人件費,0
2026-01-31,食材仕入れ費,0
2026-01-31,ドリンク仕入れ費,0
2026-01-31,アルバイト人件費,0
2026-02-01,食材仕入れ費,0
2026-02-01,ドリンク仕入れ費,0
2026-02-01,アルバイト人件費,0
2026-02-02,食材仕入れ費,0
2026-02-02,ドリンク仕入れ費,0
2026-02-02,アルバイト人件費,0
2026-02-03,食材仕入れ費,0
2026-02-03,ドリンク仕入れ費,0
2026-02-03,アルバイト人件費,0
2026-02-04,食材仕入れ費,0
2026-02-04,ドリンク仕入れ費,0
2026-02-04,アルバイト人件費,0
2026-02-05,食材仕入れ費,0
2026-02-05,ドリンク仕入れ費,0
2026-02-05,アルバイト人件費,0
2026-02-06,食材仕入れ費,0
2026-02-06,ドリンク仕入れ費,0
2026-02-06,アルバイト人件費,0
2026-02-07,食材仕入れ費,0
2026-02-07,ドリンク仕入れ費,0
2026-02-07,アルバイト人件費,0
2026-02-08,食材仕入れ費,0
2026-02-08,ドリンク仕入れ費,0
2026-02-08,アルバイト人件費,0
2026-02-09,食材仕入れ費,0
2026-02-09,ドリンク仕入れ費,0
2026-02-09,アルバイト人件費,0
2026-02-10,食材仕入れ費,0
2026-02-10,ドリンク仕入れ費,0
2026-02-10,アルバイト人件費,0
2026-02-11,食材仕入れ費,0
2026-02-11,ドリンク仕入れ費,0
2026-02-11,アルバイト人件費,0
2026-02-12,食材仕入れ費,0
2026-02-12,ドリンク仕入れ費,0
2026-02-12,アルバイト人件費,0
2026-02-13,食材仕入れ費,0
2026-02-13,ドリンク仕入れ費,0
2026-02-13,アルバイト人件費,0
2026-02-14,食材仕入れ費,0
2026-02-14,ドリンク仕入れ費,0
2026-02-14,アルバイト人件費,0
2026-02-15,食材仕入れ費,0
2026-02-15,ドリンク仕入れ費,0
2026-02-15,アルバイト人件費,0
2026-02-16,食材仕入れ費,0
2026-02-16,ドリンク仕入れ費,0
2026-02-16,アルバイト人件費,0
2026-02-17,食材仕入れ費,0
2026-02-17,ドリンク仕入れ費,0
2026-02-17,アルバイト人件費,0
