date,item,label,amount
2024-01-01,exp_food_cost,Food cost,10187
2024-01-01,exp_drink_cost,Drink cost,4336
2024-01-01,exp_variable_labor,Variable Labor,5668
2024-01-02,exp_food_cost,Food cost,10107
2024-01-02,exp_drink_cost,Drink cost,4028
2024-01-02,exp_variable_labor,Variable Labor,5031
2024-01-03,exp_food_cost,Food cost,11212
2024-01-03,exp_drink_cost,Drink cost,4523
2024-01-03,exp_variable_labor,Variable Labor,5072
2024-01-04,exp_food_cost,Food cost,20827
2024-01-04,exp_drink_cost,Drink cost,8276
2024-01-04,exp_variable_labor,Variable Labor,9548
2024-01-05,exp_food_cost,Food cost,22788
2024-01-05,exp_drink_cost,Drink cost,9824
2024-01-05,exp_variable_labor,Variable Labor,12175
2024-01-06,exp_food_cost,Food cost,24394
2024-01-06,exp_drink_cost,Drink cost,11269
2024-01-06,exp_variable_labor,Variable Labor,13549
2024-01-08,exp_food_cost,Food cost,18470
2024-01-08,exp_drink_cost,Drink cost,7003
2024-01-08,exp_variable_labor,Variable Labor,9551
2024-01-09,exp_food_cost,Food cost,19861
2024-01-09,exp_drink_cost,Drink cost,8301
2024-01-09,exp_variable_labor,Variable Labor,10516
2024-01-10,exp_food_cost,Food cost,19465
2024-01-10,exp_drink_cost,Drink cost,8017
2024-01-10,exp_variable_labor,Variable Labor,9231
2024-01-11,exp_food_cost,Food cost,20471
2024-01-11,exp_drink_cost,Drink cost,8701
2024-01-11,exp_variable_labor,Variable Labor,8954
2024-01-12,exp_food_cost,Food cost,21806
2024-01-12,exp_drink_cost,Drink cost,10302
2024-01-12,exp_variable_labor,Variable Labor,11058
2024-01-13,exp_food_cost,Food cost,23899
2024-01-13,exp_drink_cost,Drink cost,12108
2024-01-13,exp_variable_labor,Variable Labor,13417
2024-01-15,exp_food_cost,Food cost,19607
2024-01-15,exp_drink_cost,Drink cost,7575
2024-01-15,exp_variable_labor,Variable Labor,8090
2024-01-16,exp_food_cost,Food cost,19643
2024-01-16,exp_drink_cost,Drink cost,7257
2024-01-16,exp_variable_labor,Variable Labor,10232
2024-01-17,exp_food_cost,Food cost,21486
2024-01-17,exp_drink_cost,Drink cost,8195
2024-01-17,exp_variable_labor,Variable Labor,10577
2024-01-18,exp_food_cost,Food cost,20055
2024-01-18,exp_drink_cost,Drink cost,8430
2024-01-18,exp_variable_labor,Variable Labor,9720
2024-01-19,exp_food_cost,Food cost,22017
2024-01-19,exp_drink_cost,Drink cost,10386
2024-01-19,exp_variable_labor,Variable Labor,13645
