date,business_day,daily_sales,lunch_sales,dinner_sales,total_customers,lunch_customers,dinner_customers,total_groups,lunch_groups,dinner_groups,food_sales,drink_sales
2024-01-01,1,50390,22172,28218,12,5,7,5,2,3,35777,14613
2024-01-02,1,51170,22003,29167,12,5,7,5,2,3,35819,15351
2024-01-03,1,53470,22992,30478,13,6,7,5,2,3,37429,16041
2024-01-04,1,99670,41861,57809,26,11,15,11,5,6,68772,30898
2024-01-05,1,113500,40860,72640,30,11,19,14,5,9,76045,37455
2024-01-06,1,122050,39056,82994,30,10,20,12,4,8,80553,41497
2024-01-07,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,1,89520,39389,50131,22,10,12,11,5,6,63559,25961
2024-01-09,1,94630,40691,53939,22,9,13,9,4,5,66241,28389
2024-01-10,1,97900,42097,55803,25,11,14,10,4,6,68530,29370
2024-01-11,1,96670,40601,56069,25,10,15,12,5,7,66702,29968
2024-01-12,1,111520,40147,71373,26,9,17,12,4,8,74718,36802
2024-01-13,1,127510,40803,86707,32,10,22,15,5,10,84157,43353
2024-01-14,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-15,1,87590,38540,49050,22,10,12,10,4,6,62189,25401
2024-01-16,1,90630,38971,51659,23,10,13,11,5,6,63441,27189
2024-01-17,1,97180,41787,55393,24,10,14,10,4,6,68026,29154
2024-01-18,1,97210,40828,56382,25,10,15,10,4,6,67075,30135
2024-01-19,1,115130,41447,73683,29,10,19,14,5,9,77137,37993
2024-01-20,1,120400,38528,81872,33,11,22,15,5,10,79464,40936
2024-01-21,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,1,89010,39164,49846,24,11,13,11,5,6,63197,25813
2024-01-23,1,94850,40786,54064,26,11,15,13,6,7,66395,28455
2024-01-24,1,94030,40433,53597,23,10,13,11,5,6,65821,28209
2024-01-25,1,100960,42403,58557,26,11,15,12,5,7,69662,31298
2024-01-26,1,114330,41159,73171,31,11,20,14,5,9,76601,37729
2024-01-27,1,122490,39197,83293,30,10,20,14,4,10,80843,41647
2024-01-28,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-29,1,88600,38984,49616,21,9,12,9,4,5,62906,25694
2024-01-30,1,93670,40278,53392,24,10,14,10,4,6,65569,28101
2024-01-31,1,93620,40257,53363,26,11,15,13,6,7,65534,28086
2024-02-01,1,98920,41546,57374,26,11,15,12,5,7,68255,30665
2024-02-02,1,113990,41036,72954,29,10,19,14,5,9,76373,37617
2024-02-03,1,126470,40470,86000,34,11,23,15,5,10,83470,43000
2024-02-04,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-05,1,88780,39063,49717,21,9,12,10,4,6,63034,25746
2024-02-06,1,96980,41701,55279,24,10,14,11,5,6,67886,29094
2024-02-07,1,99970,42987,56983,24,10,14,10,4,6,69979,29991
2024-02-08,1,99910,41962,57948,26,11,15,11,5,6,68938,30972
2024-02-09,1,113040,40694,72346,26,9,17,12,4,8,75737,37303
2024-02-10,1,129470,41430,88040,30,10,20,13,4,9,85450,44020
2024-02-11,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-12,1,90120,39653,50467,23,10,13,11,5,6,63985,26135
2024-02-13,1,96910,41671,55239,27,12,15,11,5,6,67837,29073
2024-02-14,1,100270,43116,57154,27,12,15,11,5,6,70189,30081
2024-02-15,1,103100,43302,59798,27,11,16,13,5,8,71139,31961
2024-02-16,1,115620,41623,73997,30,11,19,12,4,8,77465,38155
2024-02-17,1,130210,41667,88543,35,11,24,15,5,10,85939,44271
2024-02-18,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-19,1,93930,41329,52601,23,10,13,11,5,6,66690,27240
2024-02-20,1,95290,40975,54315,23,10,13,11,5,6,66703,28587
2024-02-21,1,99800,42914,56886,26,11,15,11,5,6,69860,29940
2024-02-22,1,102190,42920,59270,24,10,14,10,4,6,70511,31679
2024-02-23,1,118680,42725,75955,28,10,18,12,4,8,79516,39164
2024-02-24,1,126880,40602,86278,29,9,20,14,4,10,83741,43139
2024-02-25,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-26,1,90900,39996,50904,21,9,12,8,4,4,64539,26361
2024-02-27,1,96050,41302,54748,23,10,13,11,5,6,67235,28815
2024-02-28,1,101090,43469,57621,23,10,13,10,4,6,70763,30327
2024-02-29,1,103470,43457,60013,25,10,15,12,5,7,71394,32076
2024-03-01,1,129710,46696,83014,34,12,22,14,5,9,86906,42804
2024-03-02,1,137490,43997,93493,38,12,26,16,5,11,90743,46747
2024-03-03,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-04,1,102540,45118,57422,24,11,13,10,4,6,72803,29737
2024-03-05,1,103610,44552,59058,24,10,14,10,4,6,72527,31083
2024-03-06,1,107510,46229,61281,26,11,15,10,4,6,75257,32253
2024-03-07,1,113900,47838,66062,28,12,16,11,5,6,78591,35309
2024-03-08,1,128360,46210,82150,29,10,19,14,5,9,86001,42359
2024-03-09,1,142670,45654,97016,35,11,24,14,4,10,94162,48508
2024-03-10,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,1,100770,44339,56431,26,11,15,11,5,6,71547,29223
2024-03-12,1,102440,44049,58391,27,12,15,12,5,7,71708,30732
2024-03-13,1,111260,47842,63418,25,11,14,12,5,7,77882,33378
2024-03-14,1,112890,47414,65476,28,12,16,13,5,8,77894,34996
2024-03-15,1,129040,46454,82586,33,12,21,15,5,10,86457,42583
2024-03-16,1,135860,43475,92385,35,11,24,14,4,10,89668,46192
2024-03-17,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,1,98640,43402,55238,27,12,15,12,5,7,70034,28606
2024-03-19,1,108260,46552,61708,29,12,17,12,5,7,75782,32478
2024-03-20,1,105840,45511,60329,25,11,14,12,5,7,74088,31752
2024-03-21,1,110370,46355,64015,29,12,17,12,5,7,76155,34215
2024-03-22,1,132000,47520,84480,36,13,23,16,6,10,88440,43560
2024-03-23,1,138830,44426,94404,35,11,24,16,5,11,91628,47202
2024-03-24,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,1,102360,45038,57322,27,12,15,12,5,7,72676,29684
2024-03-26,1,105020,45159,59861,24,10,14,9,4,5,73514,31506
2024-03-27,1,109050,46892,62158,28,12,16,12,5,7,76335,32715
2024-03-28,1,112760,47359,65401,31,13,18,15,6,9,77804,34956
2024-03-29,1,124630,44867,79763,32,12,20,13,5,8,83502,41128
2024-03-30,1,143070,45782,97288,39,12,27,18,6,12,94426,48644
2024-03-31,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,1,110170,48475,61695,29,13,16,11,5,6,78221,31949
2024-04-02,1,115890,49833,66057,31,13,18,14,6,8,81123,34767
2024-04-03,1,115780,49785,65995,32,14,18,15,6,9,81046,34734
2024-04-04,1,124980,52492,72488,30,13,17,13,5,8,86236,38744
2024-04-05,1,136450,49122,87328,36,13,23,16,6,10,91422,45028
2024-04-06,1,148530,47530,101000,39,12,27,16,5,11,98030,50500
2024-04-07,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-08,1,109280,48083,61197,29,13,16,12,5,7,77589,31691
2024-04-09,1,110570,47545,63025,29,12,17,12,5,7,77399,33171
2024-04-10,1,114640,49295,65345,26,11,15,11,5,6,80248,34392
2024-04-11,1,123080,51694,71386,34,14,20,13,5,8,84925,38155
2024-04-12,1,136890,49280,87610,36,13,23,16,6,10,91716,45174
2024-04-13,1,149680,47898,101782,35,11,24,17,5,12,98789,50891
2024-04-14,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-15,1,112110,49328,62782,27,12,15,11,5,6,79598,32512
2024-04-16,1,111080,47764,63316,30,13,17,14,6,8,77756,33324
2024-04-17,1,116740,50198,66542,30,13,17,14,6,8,81718,35022
2024-04-18,1,117800,49476,68324,30,13,17,12,5,7,81282,36518
2024-04-19,1,138010,49684,88326,34,12,22,14,5,9,92467,45543
2024-04-20,1,148030,47370,100660,37,12,25,16,5,11,97700,50330
2024-04-21,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-22,1,107030,47093,59937,26,11,15,12,5,7,75991,31039
2024-04-23,1,115400,49622,65778,28,12,16,12,5,7,80780,34620
2024-04-24,1,117560,50551,67009,31,13,18,12,5,7,82292,35268
2024-04-25,1,122680,51526,71154,29,12,17,12,5,7,84649,38031
2024-04-26,1,138630,49907,88723,35,13,22,15,5,10,92882,45748
2024-04-27,1,150310,48099,102211,40,13,27,16,5,11,99205,51105
2024-04-28,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-29,1,109070,47991,61079,26,11,15,13,6,7,77440,31630
2024-04-30,1,114420,49201,65219,29,12,17,12,5,7,80094,34326
2024-05-01,1,113970,49007,64963,28,12,16,12,5,7,79779,34191
2024-05-02,1,121370,50975,70395,31,13,18,14,6,8,83745,37625
2024-05-03,1,132210,47596,84614,34,12,22,15,5,10,88581,43629
2024-05-04,1,146600,46912,99688,40,13,27,15,5,10,96756,49844
2024-05-05,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-06,1,108770,47859,60911,26,11,15,10,4,6,77227,31543
2024-05-07,1,110580,47549,63031,29,12,17,12,5,7,77406,33174
2024-05-08,1,116080,49914,66166,27,12,15,11,5,6,81256,34824
2024-05-09,1,120760,50719,70041,32,13,19,13,5,8,83324,37436
2024-05-10,1,136290,49064,87226,32,12,20,15,5,10,91314,44976
2024-05-11,1,148300,47456,100844,40,13,27,19,6,13,97878,50422
2024-05-12,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-13,1,107710,47392,60318,25,11,14,12,5,7,76474,31236
2024-05-14,1,113610,48852,64758,30,13,17,12,5,7,79527,34083
2024-05-15,1,114020,49029,64991,30,13,17,14,6,8,79814,34206
2024-05-16,1,116740,49031,67709,28,12,16,12,5,7,80551,36189
2024-05-17,1,131250,47250,84000,31,11,20,14,5,9,87938,43312
2024-05-18,1,145910,46691,99219,37,12,25,17,5,12,96301,49609
2024-05-19,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-20,1,106990,47076,59914,28,12,16,12,5,7,75963,31027
2024-05-21,1,113200,48676,64524,26,11,15,11,5,6,79240,33960
2024-05-22,1,117410,50486,66924,27,12,15,13,6,7,82187,35223
2024-05-23,1,117990,49556,68434,32,13,19,12,5,7,81413,36577
2024-05-24,1,133560,48082,85478,35,13,22,17,6,11,89485,44075
2024-05-25,1,146550,46896,99654,37,12,25,18,6,12,96723,49827
2024-05-26,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-27,1,105280,46323,58957,26,11,15,12,5,7,74749,30531
2024-05-28,1,111730,48044,63686,26,11,15,12,5,7,78211,33519
2024-05-29,1,111180,47807,63373,26,11,15,12,5,7,77826,33354
2024-05-30,1,117820,49484,68336,28,12,16,11,5,6,81296,36524
2024-05-31,1,137470,49489,87981,33,12,21,14,5,9,92105,45365
2024-06-01,1,134400,43008,91392,35,11,24,15,5,10,88704,45696
2024-06-02,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-03,1,99570,43811,55759,26,11,15,12,5,7,70695,28875
2024-06-04,1,103730,44604,59126,28,12,16,13,6,7,72611,31119
2024-06-05,1,107540,46242,61298,29,12,17,11,5,6,75278,32262
2024-06-06,1,109720,46082,63638,28,12,16,13,5,8,75707,34013
2024-06-07,1,126130,45407,80723,34,12,22,14,5,9,84507,41623
2024-06-08,1,134870,43158,91712,31,10,21,15,5,10,89014,45856
